Act,Answer,Ask,Back,Be,Beat,Blow,Break,Bring,Call,Carry,Check,Come,Crack,Cut,Fall,Fill,Get,Give,Go,Hang,Hold,Jump,Keep,Kick,Knock,Lay,Live,Let,Look,Make,Mess,Move,Pass,Pick,Play,Pull,Put,Run,See,Send,Set,Speak,Stand,Take,Throw,Turn,Walk,Wash,Work,Try,Think,Spring
,,,Back up,Be on about,,Blow past,Break off,Bring forth,Call on,,,Come back,,Cut through,Fall into,,Get around,Give off,Go around,,Hold out,,Keep in,Kick out,Knock off,,,,Look out,Make out of,Mess with,,Pass round,Pick up,,Pull out,Put back,Run away with,,,Set on,,Stand off,Take back,,Turn back,,Wash up,Work sth out,,,
,,,Back up,Be on to,,Blow up,Break into,Bring forth,Call out,,,Come back,,Cut through,Fall into,,Get around,Give out,Go at,,Hold out,,Keep off,Kick out,Knock off,,,,Look out,Make over,Mess with,,Pass through,Pick up,,Pull out,Put by,Run away with,,,Set out,,Stand out,Take back,,Turn back,,,Work through,,,
,,,Back up,Be out for,,Blow up,Break into,Bring forth,Call out,,,Come back,,Cut up,Fall into,,Get around,Give out,Go away,,Hold out,,Keep off,Kick up,Knock off,,,,Look out for,Make over,Mess with,,Pass to,Pick up,,Pull over,Put by,Run back,,,Set out,,StandÂ out,Take back,,Turn back,,,Work up,,,
,,,,Be there for,,Blow up,Break into,Bring forward,Call out,,,Come before,,Cut up,Fall off,,Get around,Give out,Go away,,Hold over,,Keep on,Kick up,Knock off,,,,Look out for,Make over,,,Pass up,Pick up,,Pull over,Put by,Run back,,,Set out,,Stand up,Take down,,Turn down,,,Work up,,,
,,,,Be snowed under,,Blow up,Break into,Bring in,,,,Come before,,Cut up,Fall off,,Get around,Give over,Go away,,Hold up,,Keep on,Kick up,Knock off,,,,Look round,Make towards,,,,Pick up,,Pull up,Put by,Run by,,,Set up,,Stand up,Take down,,Turn down,,,,,,
,,,,Be taken aback,,Blow up,Break out,Bring off,,,,Come before,,Cut up,Fall on,,Get around,Give over,Go back,,Hold up,,Keep on,,Knock out,,,,Look round,Make up,,,,Pick up,,Pull up,Put down,Run by,,,Set up,,Stand up,Take down,,Turn down,,,,,,
,,,,Be taken with,,,Break out,Bring out,,,,Come before,,,Fall on,,Get around to,Give over,Go before,,Hold up,,Keep out,,Knock out,,,,Look round,Make up,,,,Pick up,,Pull up,Put down,Run down,,,Set up,,Stand up for,Take down,,Turn in,,,,,,
,,,,Be up for,,,Break through,Bring out,,,,Come between,,,Fall on,,Get at,Give up,Go below,,Hold up,,Keep out,,Knock out,,,,Look through,Make up,,,,Pick up,,Pull up,Put down,Run down,,,Set up,,Stand up to,Take down,,Turn in,,,,,,
,,,,Be up to,,,Break through,Bring out,,,,Come by,,,Fall out,,Get at,Give up,Go by,,Hold up,,Keep out of,,Knock out,,,,Look through,Make up,,,,Pick up,,,Put down,Run down,,,Set up,,Stand up to,Take for,,Turn in,,,,,,
,,,,Be with,,,Break up,Bring out,,,,Come by,,,Fall out,,Get at,Give up,Go by,,,,Keep out of,,Knock out,,,,Look through,Make up,,,,Pick up,,,Put down,Run down,,,Set up,,,Take for,,Turn into,,,,,,
,,,,Be with,,,Break up,Bring round,,,,Come down,,,Fall out,,Get at,Give up,Go by,,,,Keep to oneself,,Knock out,,,,Look to,Make up for,,,,Pick up,,,Put down,Run down,,,Set up,,,Take for,,Turn off,,,,,,
,,,,Be with,,,Break up,Bring round,,,,Come down,,,Fall through,,Get at,Give up,Go down,,,,Keep up,,Knock out,,,,Look up,Make up to,,,,Pick up after,,,Put down,Run down,,,Set up,,,Take in,,Turn off,,,,,,
,,,,Be with,,,Break up,Bring round,,,,Come down,,,Fall under,,Get at,Give up,Go down,,,,Keep up,,Knock over,,,,Look up,Make way,,,,Pick up on,,,Put down,Run for it,,,Set up,,,Take in,,Turn off,,,,,,
,,,,,,,Break up,Bring to,,,,Come down,,,Fall upon,,Get away,Give up on,Go down,,,,Keep up with,,Knock over,,,,Look up to,,,,,Pick up on,,,Put down,Run in,,,Set upon,,,Take in,,Turn on,,,,,,
,,,,,,,,Bring to,,,,Come down,,,,,Get away,Give up on,Go down,,,,,,Knock together,,,,Look upon,,,,,Pick up on,,,Put down,Run in,,,,,,Take it away,,Turn on,,,,,,
,,,,,,,,Bring up,,,,Come down,,,,,Get away,Give way,Go down,,,,,,Knock up,,,,Look upon,,,,,Pick up on,,,Put down,Run into,,,,,,Take it out in,,Turn on,,,,,,
,,,,,,,,Bring up,,,,Come down on,,,,,Get away,Give way,Go down,,,,,,Knock up,,,,Look upon as,,,,,Pick yourself up,,,Put down,Run into,,,,,,Take it out on,,Turn on,,,,,,
,,,,,,,,Bring up,,,,Come down upon,,,,,Get away,Give way,Go down,,,,,,,,,,,,,,,,,,Put down as,Run into,,,,,,Take it upon oneself,,Turn on,,,,,,
,,,,,,,,Bring up,,,,Come down to,,,,,Get away from,Give way to,Go down,,,,,,,,,,,,,,,,,,Put down for,Run into,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,Bring up,,,,Come down to,,,,,Get away with,Give way to,Go down,,,,,,,,,,,,,,,,,,Put down to,Run into,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come down with,,,,,Get back,Give way to,Go down with,,,,,,,,,,,,,,,,,,Put forward,Run low,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come for,,,,,Get back,Give yourself up,Go for,,,,,,,,,,,,,,,,,,Put forward,Run off,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come forth,,,,,Get back,,Go for,,,,,,,,,,,,,,,,,,Put in,Run off,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come from,,,,,Get back at,,Go for,,,,,,,,,,,,,,,,,,Put in,Run off,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come in,,,,,Get back to,,Go for,,,,,,,,,,,,,,,,,,Put in,Run off,,,,,,Take off,,Turn out,,,,,,
,,,,,,,,,,,,Come in,,,,,Get behind,,Go for,,,,,,,,,,,,,,,,,,Put in,Run off,,,,,,Take on,,Turn out,,,,,,
,,,,,,,,,,,,Come in,,,,,Get behind with,,Go for,,,,,,,,,,,,,,,,,,Put in practice,Run off,,,,,,Take on,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get by,,Go for it,,,,,,,,,,,,,,,,,,Put off,Run off with,,,,,,Take on,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get down,,Go for it,,,,,,,,,,,,,,,,,,Put off,Run off with,,,,,,Take on,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get down,,Go forward,,,,,,,,,,,,,,,,,,Put off,Run on,,,,,,Take out,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get down,,Go forward,,,,,,,,,,,,,,,,,,Put off,Run on,,,,,,Take out,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get down,,Go in,,,,,,,,,,,,,,,,,,Put on,Run on,,,,,,Take over,,Turn over,,,,,,
,,,,,,,,,,,,Come in,,,,,Get down,,Go in for,,,,,,,,,,,,,,,,,,Put on,Run on,,,,,,Take over,,Turn round,,,,,,
,,,,,,,,,,,,Come in for,,,,,Get down,,Go in for,,,,,,,,,,,,,,,,,,Put on,Run out,,,,,,Take over,,Turn round,,,,,,
,,,,,,,,,,,,Come into,,,,,Get down,,Go in for,,,,,,,,,,,,,,,,,,Put on,Run out,,,,,,Take over,,Turn round,,,,,,
,,,,,,,,,,,,Come into,,,,,Get down on,,Go in with,,,,,,,,,,,,,,,,,,Put on,Run out,,,,,,Take over,,Turn round,,,,,,
,,,,,,,,,,,,Come off,,,,,Get down to,,Go into,,,,,,,,,,,,,,,,,,Put on,Run out on,,,,,,Take pity,,Turn round,,,,,,
,,,,,,,,,,,,Come off,,,,,Get in,,Go into,,,,,,,,,,,,,,,,,,Put oneself across,Run over,,,,,,Take through,,Turn round,,,,,,
,,,,,,,,,,,,Come on,,,,,Get in,,Go off,,,,,,,,,,,,,,,,,,Put out,Run over,,,,,,Take to,,Turn to,,,,,,
,,,,,,,,,,,,Come on,,,,,Get in,,Go off,,,,,,,,,,,,,,,,,,Put out,Run over,,,,,,Take to,,Turn to,,,,,,
,,,,,,,,,,,,Come on,,,,,Get in,,Go off,,,,,,,,,,,,,,,,,,Put out,Run over,,,,,,Take to,,Turn up,,,,,,
,,,,,,,,,,,,Come on,,,,,Get in with,,Go off,,,,,,,,,,,,,,,,,,Put out,Run over,,,,,,Take up,,Turn up,,,,,,
,,,,,,,,,,,,Come on,,,,,Get into,,Go off,,,,,,,,,,,,,,,,,,Put over,Run over,,,,,,Take up,,Turn up,,,,,,
,,,,,,,,,,,,Come on,,,,,Get into,,Go off,,,,,,,,,,,,,,,,,,Put past,Run past,,,,,,Take up,,Turn up,,,,,,
,,,,,,,,,,,,Come on,,,,,Get into,,Go off with,,,,,,,,,,,,,,,,,,Put through,Run through,,,,,,Take up,,Turn up,,,,,,
,,,,,,,,,,,,Come on,,,,,Get into,,Go off with,,,,,,,,,,,,,,,,,,Put through,Run through,,,,,,Take up,,Turn upside down,,,,,,
,,,,,,,,,,,,Come on,,,,,Get into,,Go on,,,,,,,,,,,,,,,,,,Put to,Run through,,,,,,Take up,,Turn upside down,,,,,,
,,,,,,,,,,,,Come on,,,,,Get it,,Go on,,,,,,,,,,,,,,,,,,Put together,Run through,,,,,,Take up,,,,,,,,
,,,,,,,,,,,,Come on,,,,,Get it on,,Go on to,,,,,,,,,,,,,,,,,,Put towards,Run through,,,,,,Take up with,,,,,,,,
,,,,,,,,,,,,Come on,,,,,Get it on,,Go on about,,,,,,,,,,,,,,,,,,Put up,Run to,,,,,,Take upon oneself,,,,,,,,
,,,,,,,,,,,,Come on,,,,,Get it on,,Go on,,,,,,,,,,,,,,,,,,Put up,Run to,,,,,,,,,,,,,,
,,,,,,,,,,,,Come out in,,,,,Get it together,,Go on,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come out in,,,,,Get it over with,,Go on at,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come out of,,,,,Get it up,,Go on with,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come out with,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come out with,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come over,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,Put up,Run up,,,,,,,,,,,,,,
,,,,,,,,,,,,Come round,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,Put up with,Run up against,,,,,,,,,,,,,,
,,,,,,,,,,,,Come round,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,Put forward,Run up on,,,,,,,,,,,,,,
,,,,,,,,,,,,Come round,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,,Run with,,,,,,,,,,,,,,
,,,,,,,,,,,,Come through,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come through,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come through,,,,,Get off,,Go out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come through with,,,,,Get off,,Go out for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come to,,,,,Get off,,Go out to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come to,,,,,Get off,,Go over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come to,,,,,Get off,,Go over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come to,,,,,Get off on,,Go over to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come to,,,,,Get off on,,Go over to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come together,,,,,Get on,,Go so far as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come under,,,,,Get on,,Go past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come under,,,,,Get on,,Go round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come under,,,,,Get on,,Go round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on,,Go round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on to,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on to,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on for,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up,,,,,Get on with,,Go through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up to,,,,,Get on with,,Go through with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come up with,,,,,Get onto,,Go to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come upon,,,,,Get onto,,Go to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come upon,,,,,Get onto,,Go to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Come with,,,,,Get onto,,Go together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get onto,,Go towards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go up for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out,,Go with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out of,,Go with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out of,,Go without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get out of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get over with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get rid of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get stuck in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get stuck into,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get stuck into,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get taken in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get taken in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get through to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get through to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get up to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Get with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
