Relief,Triumph,Enthusiasm,Surprise,Mockery,Confirmation,Winning time,Asking for silence,Disgust,Boredom,Disappointment,Irritation,Disdain,Miscellaneous
,,,,,,,,,,,,,
,Rah can be repeated or written with multiple R’s for added effect.,Yay may also indicate triumph.,Now shows more of a ‘calculated’ surprise. When repeated (‘Now now’) it mocks someone.,Lah-de-dah derides someone who is being pretentious.,,,,Ugh is an exclamation to show discontentment.,,,"Oy is actually Yiddish, expressing annoyance but may also be used to show disgust or disappointment.",,Yum refers to something tasteful or attractive.
,,,,,,,,,,,,,
,Ta-da is used when someone is proud of and shows their achievement.,"Yee-haw got friction thanks to cowboys in the Wild West, used when they were enthusiastic about something.",Whoa is a way to ask for a halt or show you are surprised.,Nana na nana na is a pestering way to taunt someone.,,,,"Yuck, yech or yeck, not to be confused with yuk, which is a laugh.",,,Pshaw usually refers to someone being impatient.,,Achoo refers to a sound you make when sneezing.
,,,,,,,,,,,,,
,,Yippee is more expressive than ‘yay’ to show excitement.,Wow or wowie shows amazement.,Neener-neener is used to taunt.,,,,,,,Sheesh implies flustered annoyance.,,"Eh? similar to ‘huh?’ may be a Canadian suffix to a sentence, or ask for repetition."
,,,,,,,,,,,,,
,,Yo-ho-ho is a pirate’s laughter or way to show enthusiasm. Fun fact: Also used as a means to maintain the rhythm when rowing.,"Yikes is usually used in a funny context, showing surprise in a positive way.","Sis boom dah used to be encouraging, nowadays its meaning has shifted to mockery.",,,,,,,"Tchah a rather strong interjection, similar to ‘hell’ or ‘damn’.",,Ho-hum is used when trying to break the silence.
,,,,,,,,,,,,,
,,Yoow(za) illustrates being impressed by something or someone.,Zoinks stems from the cartoon Scooby-Doo.,Whoop-de-doo mocks someone trying to impress.,,,,,,,Hmph is used when you want a conversation to end.,,Hup is often used as an encouragement or at the start of exerting a task.
,,,,,,,,,,,,,
,,,Zowie is a variant of wowie.,,,,,,,,,,Poof indicates a sudden appearance of someone or something.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Skrreeek is actually an onomatopoeia imitating a scary door slowly opening or the sound of nails on a blackboard.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Uhm or ehm show confusion.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Blech implies being sick.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Boo scares someone.
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Gulp imitates someone swallowing, meaning they are stressed."
,,,,,,,,,,,,,
,,,,,,,,,,,,,Hamana-hamana is uttered when someone is embarrassed.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Oops is said when you did something wrong.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Ouch is a cry of someone in pain.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Shoo can be used to scare away unwanted animals.
,,,,,,,,,,,,,
,,,,,,,,,,,,,"Tsk-tsk is a patronizing sound, made with the tongue."
,,,,,,,,,,,,,
,,,,,,,,,,,,,Uh-uh means someone is refusing to do something.
,,,,,,,,,,,,,
,,,,,,,,,,,,,Woopsie or whoops is a variant of ‘oops’ but is usually said in a less serious situation.
